tanggal,diagnosa,jumlah
2020-04-01,Meninggal Harian,6
2020-04-01,Sembuh Harian,2
2020-04-01,Positif Harian,75
2020-04-02,Meninggal Harian,5
2020-04-02,Sembuh Harian,3
2020-04-02,Positif Harian,93
2020-04-04,Meninggal Harian,3
2020-04-04,Sembuh Harian,2
2020-04-04,Positif Harian,81
2020-04-04,Meninggal Harian,1
2020-04-04,Sembuh Harian,2
2020-04-04,Positif Harian,81
2020-04-05,Meninggal Harian,24
2020-04-05,Sembuh Harian,6
2020-04-05,Positif Harian,80
2020-04-06,Meninggal Harian,8
2020-04-06,Sembuh Harian,4
2020-04-06,Positif Harian,148
2020-04-07,Meninggal Harian,10
2020-04-07,Sembuh Harian,1
2020-04-07,Positif Harian,144
2020-04-08,Meninggal Harian,3
2020-04-08,Sembuh Harian,6
2020-04-08,Positif Harian,109
2020-04-09,Meninggal Harian,11
2020-04-09,Sembuh Harian,7
2020-04-09,Positif Harian,167
2020-04-10,Meninggal Harian,1
2020-04-10,Sembuh Harian,0
2020-04-10,Positif Harian,91
2020-04-11,Meninggal Harian,12
2020-04-11,Sembuh Harian,60
2020-04-11,Positif Harian,93
2020-04-12,Meninggal Harian,27
2020-04-12,Sembuh Harian,0
2020-04-12,Positif Harian,179
2020-04-13,Meninggal Harian,14
2020-04-13,Sembuh Harian,0
2020-04-13,Positif Harian,160
2020-04-14,Meninggal Harian,34
2020-04-14,Sembuh Harian,21
2020-04-14,Positif Harian,107
2020-04-15,Meninggal Harian,3
2020-04-15,Sembuh Harian,1
2020-04-15,Positif Harian,98
2020-04-16,Meninggal Harian,2
2020-04-16,Sembuh Harian,38
2020-04-16,Positif Harian,223
2020-04-17,Meninggal Harian,2
2020-04-17,Sembuh Harian,1
2020-04-17,Positif Harian,153
2020-04-18,Meninggal Harian,7
2020-04-18,Sembuh Harian,3
2020-04-18,Positif Harian,79
2020-04-19,Meninggal Harian,35
2020-04-19,Sembuh Harian,1
2020-04-19,Positif Harian,131
2020-04-20,Meninggal Harian,5
2020-04-20,Sembuh Harian,30
2020-04-20,Positif Harian,79
2020-04-21,Meninggal Harian,8
2020-04-21,Sembuh Harian,49
2020-04-21,Positif Harian,167
2020-04-22,Meninggal Harian,3
2020-04-22,Sembuh Harian,5
2020-04-22,Positif Harian,120
2020-04-23,Meninggal Harian,8
2020-04-23,Sembuh Harian,1
2020-04-23,Positif Harian,107
2020-04-24,Meninggal Harian,15
2020-04-24,Sembuh Harian,35
2020-04-24,Positif Harian,99
2020-04-25,Meninggal Harian,19
2020-04-25,Sembuh Harian,7
2020-04-25,Positif Harian,76
2020-04-26,Meninggal Harian,7
2020-04-26,Sembuh Harian,4
2020-04-26,Positif Harian,65
2020-04-27,Meninggal Harian,18
2020-04-27,Sembuh Harian,0
2020-04-27,Positif Harian,86
2020-04-28,Meninggal Harian,4
2020-04-28,Sembuh Harian,3
2020-04-28,Positif Harian,118
2020-04-29,Meninggal Harian,2
2020-04-29,Sembuh Harian,71
2020-04-29,Positif Harian,83
2020-04-30,Meninggal Harian,0
2020-04-30,Sembuh Harian,0
2020-04-30,Positif Harian,105
