tanggal,diagnosa,jumlah
2020-03-01,Meninggal Harian,0
2020-03-01,Sembuh Harian,0
2020-03-01,Positif Harian,0
2020-03-02,Meninggal Harian,0
2020-03-02,Sembuh Harian,0
2020-03-02,Positif Harian,0
2020-03-03,Meninggal Harian,1
2020-03-03,Sembuh Harian,0
2020-03-03,Positif Harian,3
2020-03-04,Meninggal Harian,0
2020-03-04,Sembuh Harian,0
2020-03-04,Positif Harian,0
2020-03-05,Meninggal Harian,2
2020-03-05,Sembuh Harian,0
2020-03-05,Positif Harian,4
2020-03-06,Meninggal Harian,0
2020-03-06,Sembuh Harian,0
2020-03-06,Positif Harian,0
2020-03-07,Meninggal Harian,0
2020-03-07,Sembuh Harian,0
2020-03-07,Positif Harian,0
2020-03-08,Meninggal Harian,0
2020-03-08,Sembuh Harian,0
2020-03-08,Positif Harian,0
2020-03-09,Meninggal Harian,0
2020-03-09,Sembuh Harian,0
2020-03-09,Positif Harian,27
2020-03-10,Meninggal Harian,0
2020-03-10,Sembuh Harian,0
2020-03-10,Positif Harian,0
2020-03-11,Meninggal Harian,0
2020-03-11,Sembuh Harian,0
2020-03-11,Positif Harian,2
2020-03-12,Meninggal Harian,2
2020-03-12,Sembuh Harian,0
2020-03-12,Positif Harian,26
2020-03-13,Meninggal Harian,2
2020-03-13,Sembuh Harian,0
2020-03-13,Positif Harian,10
2020-03-14,Meninggal Harian,2
2020-03-14,Sembuh Harian,0
2020-03-14,Positif Harian,7
2020-03-15,Meninggal Harian,2
2020-03-15,Sembuh Harian,0
2020-03-15,Positif Harian,16
2020-03-16,Meninggal Harian,1
2020-03-16,Sembuh Harian,0
2020-03-16,Positif Harian,2
2020-03-17,Meninggal Harian,0
2020-03-17,Sembuh Harian,0
2020-03-17,Positif Harian,25
2020-03-18,Meninggal Harian,3
2020-03-18,Sembuh Harian,13
2020-03-18,Positif Harian,38
2020-03-19,Meninggal Harian,4
2020-03-19,Sembuh Harian,0
2020-03-19,Positif Harian,51
2020-03-20,Meninggal Harian,1
2020-03-20,Sembuh Harian,0
2020-03-20,Positif Harian,13
2020-03-21,Meninggal Harian,5
2020-03-21,Sembuh Harian,4
2020-03-21,Positif Harian,44
2020-03-22,Meninggal Harian,4
2020-03-22,Sembuh Harian,4
2020-03-22,Positif Harian,39
2020-03-23,Meninggal Harian,2
2020-03-23,Sembuh Harian,1
2020-03-23,Positif Harian,49
2020-03-24,Meninggal Harian,3
2020-03-24,Sembuh Harian,1
2020-03-24,Positif Harian,71
2020-03-25,Meninggal Harian,9
2020-03-25,Sembuh Harian,4
2020-03-25,Positif Harian,45
2020-03-26,Meninggal Harian,6
2020-03-26,Sembuh Harian,2
2020-03-26,Positif Harian,43
2020-03-27,Meninggal Harian,8
2020-03-27,Sembuh Harian,2
2020-03-27,Positif Harian,51
2020-03-28,Meninggal Harian,5
2020-03-28,Sembuh Harian,12
2020-03-28,Positif Harian,37
2020-03-29,Meninggal Harian,5
2020-03-29,Sembuh Harian,5
2020-03-29,Positif Harian,98
2020-03-30,Meninggal Harian,11
2020-03-30,Sembuh Harian,1
2020-03-30,Positif Harian,26
2020-03-31,Meninggal Harian,6
2020-03-31,Sembuh Harian,0
2020-03-31,Positif Harian,14
